cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,co2_rate_cm3_stp_g_s
1,purge,784.0,100.05295785501394,10.315884302758102,0.10310424123299562,15.968475241553035,1.0,0.32709934619652076,1.0163549673098262,-0.04423201479777446
1,purge,786.0,100.05295653571241,10.313646789772857,0.10308187930550114,15.880030942516175,1.0,0.3248568371555889,1.0162428418577794,-0.044212285868964155
1,purge,788.0,100.05295521706422,10.311410273283672,0.10305952733643034,15.791626091566386,1.0,0.322615327078948,1.0161307663539474,-0.04419256670974822
1,purge,790.0,100.05295389906891,10.309174752798352,0.1030371853208653,15.703260669170206,1.0,0.32037481547308233,1.016018740773654,-0.044172857314399856
1,purge,792.0,100.05295258172617,10.306940227825036,0.10301485325389101,15.614934655805612,1.0,0.3181353018447503,1.0159067650922375,-0.04415315767720695
1,purge,794.0,100.05295126503559,10.30470669787252,0.10299253113059938,15.52664803196202,1.0,0.31589678570101887,1.0157948392850509,-0.044133467792445674
1,purge,796.0,100.0529499489968,10.302474162449222,0.10297021894607837,15.438400778140277,1.0,0.313659266549229,1.0156829633274616,-0.04411378765440694
1,purge,798.0,100.0529486336094,10.300242621064484,0.10294791669542527,15.350192874852647,1.0,0.3114227438970154,1.0155711371948508,-0.044094117257380876
1,purge,800.0,100.052947318873,10.298012073227648,0.10292562437373731,15.262024302622818,1.0,0.30918721725231124,1.0154593608626155,-0.044074456595653566
1,purge,802.0,100.05294600478723,10.295782518448052,0.1029033419761116,15.173895041985881,1.0,0.30695268612330956,1.0153476343061654,-0.04405480566353616
1,purge,804.0,100.0529446913517,10.293553956236034,0.10288106949765546,15.08580507348832,1.0,0.30471915001850747,1.0152359575009253,-0.04403516445533056
1,purge,806.0,100.05294337856608,10.291326386101641,0.10285880693347306,14.997754377688013,1.0,0.30248660844669717,1.015124330422335,-0.044015532965336404
1,purge,808.0,100.05294206642995,10.289099807555173,0.10283655427867125,14.909742935154206,1.0,0.300255060916934,1.0150127530458466,-0.04399591118787557
1,purge,810.0,100.05294075494288,10.286874220107801,0.10281431152836558,14.821770726467534,1.0,0.2980245069385788,1.014901225346929,-0.04397629911725919
1,purge,812.0,100.05293944410455,10.284649623270273,0.10279207867766724,14.73383773221998,1.0,0.2957949460212724,1.0147897473010636,-0.0439566967478071
1,purge,814.0,100.05293813391467,10.28242601655397,0.10276985572169382,14.645943933014882,1.0,0.2935663776749265,1.0146783188837463,-0.04393710407385497
1,purge,816.0,100.05293682437268,10.28020339947092,0.10274764265556956,14.558089309466936,1.0,0.29133880140977225,1.0145669400704886,-0.043917521089716346
1,purge,818.0,100.0529355154783,10.277981771532515,0.10272543947441204,14.470273842202168,1.0,0.28911221673630527,1.0144556108368152,-0.04389794778972523
1,purge,820.0,100.05293420723115,10.275761132251233,0.10270324617334983,14.382497511857949,1.0,0.2868866231652993,1.014344331158265,-0.04387838416822553
1,purge,822.0,100.0529328996308,10.27354148113953,0.10268106274751132,14.294760299082952,1.0,0.2846620202078187,1.0142331010103909,-0.04385883021956043
1,purge,824.0,100.05293159267691,10.271322817710342,0.10265888919202965,14.207062184537172,1.0,0.2824384073752308,1.0141219203687615,-0.043839285938063396
1,purge,826.0,100.05293028636919,10.269105141476308,0.1026367255020349,14.11940314889192,1.0,0.2802157841791596,1.014010789208958,-0.043819751318093896
1,purge,828.0,100.0529289807071,10.266888451951187,0.10261457167266858,14.03178317282978,1.0,0.2779941501315252,1.0138997075065763,-0.043800226354005954
1,purge,830.0,100.05292767569027,10.264672748648554,0.10259242769907019,13.94420223704465,1.0,0.27577350474454915,1.0137886752372274,-0.043780711040144644
1,purge,832.0,100.05292637131848,10.262458031082014,0.10257029357637946,13.856660322241705,1.0,0.2735538475307121,1.0136776923765356,-0.04376120537087866
1,purge,834.0,100.05292506759125,10.260244298766091,0.10254816929974542,13.769157409137394,1.0,0.27133517800278695,1.0135667589001394,-0.04374170934057401
1,purge,836.0,100.05292376450825,10.258031551215014,0.10252605486431414,13.681693478459415,1.0,0.26911749567382326,1.0134558747836913,-0.04372222294360613
1,purge,838.0,100.05292246206899,10.255819787943759,0.10250395026523924,13.594268510946728,1.0,0.26690080005716643,1.0133450400028583,-0.04370274617434472
1,purge,840.0,100.05292116027321,10.253609008467237,0.10248185549767348,13.506882487349547,1.0,0.2646850906664442,1.0132342545333222,-0.04368327902716448
1,purge,842.0,100.05291985912054,10.251399212300713,0.10245977055677329,13.419535388429319,1.0,0.26247036701555526,1.0131235183507779,-0.04366382149645325
1,purge,844.0,100.05291855861046,10.249190398960064,0.10243769543770125,13.332227194958731,1.0,0.2602566286187015,1.013012831430935,-0.04364437357658745
1,purge,846.0,100.05291725874277,10.246982567960764,0.10241563013561573,13.244957887721696,1.0,0.2580438749903469,1.0129021937495173,-0.043624935261963343
1,purge,848.0,100.05291595951707,10.244775718819273,0.10239357464568517,13.15772744751334,1.0,0.25583210564524045,1.012791605282262,-0.04360550654697924
1,purge,850.0,100.05291466093283,10.242569851052032,0.10237152896307775,13.070535855139983,1.0,0.2536213200984267,1.0126810660049212,-0.04358608742602684
1,purge,852.0,100.05291336298981,10.240364964175544,0.10234949308296219,12.983383091419158,1.0,0.2514115178652174,1.0125705758932608,-0.04356667789351358
1,purge,854.0,100.05291206568766,10.238161057707101,0.10232746700051516,12.896269137179583,1.0,0.24920269846121576,1.0124601349230609,-0.04354727794384335
1,purge,856.0,100.05291076902591,10.23595813116388,0.10230545071091221,12.809193973261172,1.0,0.24699486140231183,1.0123497430701156,-0.043527887571420204
1,purge,858.0,100.05290947300429,10.23375618406319,0.10228344420933011,12.722157580514997,1.0,0.24478800620464997,1.0122394003102324,-0.04350850677067297
1,purge,860.0,100.0529081776223,10.231555215923366,0.10226144749095602,12.635159939803298,1.0,0.24258213238468113,1.0121291066192342,-0.04348913553601469
1,purge,862.0,100.05290688287963,10.22935522626224,0.10223946055097194,12.548201031999483,1.0,0.24037723945913939,1.0120188619729569,-0.04346977386186093
1,purge,864.0,100.05290558877597,10.22715621459816,0.10221748338456503,12.461280837988104,1.0,0.23817332694502164,1.0119086663472512,-0.043450421742645205
1,purge,866.0,100.05290429531088,10.224958180450047,0.10219551598692826,12.374399338664862,1.0,0.23597039435961606,1.0117985197179808,-0.043431079172796705
1,purge,868.0,100.05290300248397,10.222761123336687,0.10217355835325327,12.287556514936588,1.0,0.23376844122048968,1.0116884220610245,-0.043411746146749815
1,purge,870.0,100.05290171029492,10.220565042777373,0.10215161047873668,12.20075234772124,1.0,0.23156746704548717,1.0115783733522743,-0.043392422658944815
1,purge,872.0,100.05290041874333,10.218369938291596,0.1021296723585771,12.113986817947886,1.0,0.22936747135272859,1.0114683735676364,-0.043373108703829426
1,purge,874.0,100.05289912782887,10.216175809399333,0.10210774398797798,12.027259906556706,1.0,0.22716845366062816,1.0113584226830314,-0.04335380427584417
1,purge,876.0,100.05289783755103,10.213982655620532,0.10208582536214261,11.940571594498996,1.0,0.22497041348788008,1.011248520674394,-0.043334509369433456
1,purge,878.0,100.05289654790964,10.21179047647541,0.10206391647627677,11.85392186273714,1.0,0.222773350353437,1.011138667517672,-0.04331522397906193
1,purge,880.0,100.05289525890423,10.209599271484873,0.10204201732559326,11.767310692244608,1.0,0.220577263776541,1.0110288631888273,-0.0432959480991902
1,purge,882.0,100.05289397053437,10.207409040169741,0.10202012790530407,11.680738064005942,1.0,0.21838215327672328,1.0109191076638362,-0.04327668172427467
1,purge,884.0,100.05289268279972,10.205219782051126,0.10199824821062393,11.594203959016754,1.0,0.21618801837378443,1.0108094009186892,-0.04325742484878325
1,purge,886.0,100.05289139570003,10.203031496650578,0.10197637823677203,11.507708358283733,1.0,0.21399485858780057,1.01069974292939,-0.0432381774671902
1,purge,888.0,100.05289010923482,10.200844183489842,0.10195451797896951,11.421251242824601,1.0,0.21180267343912917,1.0105901336719565,-0.04321893957397126
1,purge,890.0,100.05288882340373,10.198657842090912,0.10193266743244006,11.334832593668134,1.0,0.20961146244840687,1.0104805731224205,-0.043199711163605325
1,purge,892.0,100.0528875382064,10.196472471976167,0.10191082659241114,11.248452391854146,1.0,0.20742122513655206,1.0103710612568275,-0.043180492230572305
1,purge,894.0,100.05288625364253,10.194288072668035,0.10188899545411065,11.162110618433477,1.0,0.20523196102475016,1.0102615980512375,-0.04316128276936443
1,purge,896.0,100.05288496971163,10.192104643689651,0.10186717401277377,11.075807254468002,1.0,0.20304366963448214,1.0101521834817242,-0.043142082774463957
1,purge,898.0,100.05288368641342,10.189922184563734,0.10184536226363122,10.989542281030596,1.0,0.2008563504874841,1.0100428175243745,-0.04312289224037432
1,purge,900.0,100.0528824037474,10.187740694814162,0.10182356020192566,10.90331567920515,1.0,0.19867000310578806,1.0099335001552894,-0.043103711161588315
1,purge,902.0,100.0528811217134,10.185560173964268,0.10180176782289387,10.817127430086552,1.0,0.19648462701169725,1.009824231350585,-0.0430845395326072
1,purge,904.0,100.05287984031091,10.183380621538056,0.10177998512177969,10.73097751478068,1.0,0.1943002217277769,1.0097150110863888,-0.04306537734794763
1,purge,906.0,100.05287855953962,10.181202037059986,0.10175821209383139,10.644865914404388,1.0,0.19211678677688757,1.0096058393388443,-0.043046224602115435
1,purge,908.0,100.05287727939914,10.179024420054331,0.10173644873429531,10.5587926100855,1.0,0.18993432168216107,1.009496716084108,-0.0430270812896244
1,purge,910.0,100.0528759998892,10.176847770045946,0.10171469503842366,10.472757582962819,1.0,0.18775282596699858,1.00938764129835,-0.04300794740499749
1,purge,912.0,100.05287472100929,10.17467208656,0.10169295100147187,10.386760814186093,1.0,0.18557229915508688,1.0092786149577544,-0.04298882294275412
1,purge,914.0,100.05287344275908,10.172497369121713,0.10167121661869578,10.300802284916035,1.0,0.18339274077038814,1.0091696370385195,-0.042969707897417955
1,purge,916.0,100.05287216513827,10.170323617256598,0.10164949188535415,10.214881976324289,1.0,0.18121415033712343,1.0090607075168563,-0.042950602263529515
1,purge,918.0,100.05287088814637,10.168150830490925,0.10162777679671339,10.128999869593438,1.0,0.1790365273798163,1.0089518263689907,-0.042931506035612035
1,purge,920.0,100.05286961178315,10.165979008350353,0.10160607134803372,10.043155945916995,1.0,0.17685987142324466,1.0088429935711622,-0.042912419208209054
1,purge,922.0,100.05286833604825,10.163808150361689,0.10158437553458675,9.95735018649939,1.0,0.1746841819924672,1.0087342090996236,-0.04289334177586338
1,purge,924.0,100.05286706094118,10.161638256051466,0.10156268935164162,9.871582572555965,1.0,0.1725094586128176,1.008625472930641,-0.04287427373312156
