z_m,component,reaction_side_flow_mol_s,reaction_side_mole_fraction,permeate_flow_mol_s
1.55,A,0.009682999942519768,0.502545804941398,0.0
1.55,B,0.009317000057480242,0.4835504824248738,0.0
1.55,H2,0.00026789527901621024,0.013903712633728225,0.010049104778464032
1.6,A,0.009491263711301184,0.49263334818396726,0.0
1.6,B,0.009508736288698826,0.4935402426257005,0.0
1.6,H2,0.0002663849215437091,0.013826409190332163,0.010242351367155116
1.6500000000000001,A,0.00930332411701636,0.4829156572353582,0.0
1.6500000000000001,B,0.00969667588298365,0.5033337061174069,0.0
1.6500000000000001,H2,0.0002649047046370691,0.01375063664723482,0.010431771178346582
1.7000000000000002,A,0.009119105969897144,0.47338893427018214,0.0
1.7000000000000002,B,0.009880894030102866,0.5129347010537875,0.0
1.7000000000000002,H2,0.0002634540221265469,0.013676364676030376,0.010617440007976318
1.75,A,0.008938535597891267,0.464049455825111,0.0
1.75,B,0.010061464402108743,0.5223469806065076,0.0
1.75,H2,0.00026203228058515346,0.013603563568381329,0.01079943212152359
1.8,A,0.008761540752701889,0.45489356812130555,0.0
1.8,B,0.010238459247298121,0.5315742276986801,0.0
1.8,H2,0.00026063889820807914,0.013532204180014384,0.010977820349090043
1.85,A,0.008588050635101896,0.4459176885316011,0.0
1.85,B,0.010411949364898114,0.5406200535109388,0.0
1.85,H2,0.0002592733053092994,0.013462257957460115,0.011152676059588815
1.9000000000000001,A,0.008417995855123496,0.4371183036828346,0.0
1.9000000000000001,B,0.010582004144876514,0.5494879993980809,0.0
1.9000000000000001,H2,0.0002579349439263954,0.013393696919084425,0.011324069200950118
1.9500000000000002,A,0.008251308377611654,0.428491966795169,0.0
1.9500000000000002,B,0.010748691622388356,0.5581815395784628,0.0
1.9500000000000002,H2,0.00025662326723619594,0.013326493626368152,0.01149206835515216
2.0,A,0.008087921524668928,0.420035297954374,0.0
2.0,B,0.010912078475331082,0.5667040808577606,0.0
2.0,H2,0.00025533773960936666,0.01326062118786531,0.011656740735721717
