time_s,component,loading_mol_kg,rate_mol_kg_s
356.390977443609,CO2,0.9429444493192115,0.0002749033328948425
357.89473684210526,CO2,0.9433547451272155,0.0002708003748148025
359.3984962406015,CO2,0.9437589172317238,0.00026675865376971975
360.90225563909775,CO2,0.9441570570295865,0.00026277725579109236
362.406015037594,CO2,0.9445492545535472,0.0002588552805514854
363.90977443609023,CO2,0.9449355984926024,0.0002549918411609331
365.4135338345865,CO2,0.9453161762120569,0.00025118606396638875
366.91729323308266,CO2,0.9456910737732803,0.0002474370883541543
368.4210526315789,CO2,0.9460603759531679,0.00024374406655527814
369.92481203007515,CO2,0.9464241662633123,0.00024010616345383485
371.4285714285714,CO2,0.9467825269688871,0.00023652255639808662
372.93233082706763,CO2,0.9471355391072509,0.00023299243501444854
374.4360902255639,CO2,0.947483282506272,0.0002295150010242375
375.9398496240601,CO2,0.9478258358023803,0.00022608946806315422
377.44360902255636,CO2,0.9481632764583496,0.00022271506150346122
378.9473684210526,CO2,0.9484956807808146,0.0002193910182788117
380.45112781954884,CO2,0.9488231239375259,0.00021611658671169876
381.9548872180451,CO2,0.9491456799743487,0.00021289102634347023
383.45864661654133,CO2,0.9494634218320068,0.0002097136077668893
384.9624060150376,CO2,0.9497764213625766,0.00020658361246119196
386.4661654135338,CO2,0.9500847493457357,0.00020350033262960034
387.96992481203006,CO2,0.9503884755047681,0.0002004630710392763
389.4736842105263,CO2,0.9506876685223316,0.00019747114086364205
390.97744360902254,CO2,0.9509823960559883,0.00019452386552707424
392.4812030075188,CO2,0.9512727247535057,0.00019162057855190095
393.98496240601503,CO2,0.951558720267926,0.00018876062340769773
395.4887218045113,CO2,0.9518404472724147,0.00018594335336281076
396.9924812030075,CO2,0.9521179694748835,0.00018316813133812282
398.49624060150376,CO2,0.9523913496323978,0.00018043432976297958
400.0,CO2,0.9526606495653676,0.000177741330433282
401.50375939849624,CO2,0.952925930171528,0.0001750885243716771
403.0075187969925,CO2,0.9531872514397093,0.00017247531168986473
404.51127819548867,CO2,0.9534446724634027,0.00016990110145293058
406.0150375939849,CO2,0.9536982514541241,0.00016736531154571633
407.51879699248116,CO2,0.9539480457545765,0.00016486736854119278
409.0225563909774,CO2,0.954194111851618,0.00016240670757077801
410.52631578947364,CO2,0.9544365053890347,0.00015998277219661072
412.0300751879699,CO2,0.9546752811801243,0.0001575950142857141
413.5338345864661,CO2,0.9549104932200907,0.00015524289388605062
415.03759398496237,CO2,0.9551421946982545,0.00015292587910441303
416.5413533834586,CO2,0.9553704380100804,0.00015064344598615388
418.04511278195486,CO2,0.955595274769026,0.00014839507839669807
419.5488721804511,CO2,0.9558167558182131,0.0001461802679048263
421.05263157894734,CO2,0.9560349312419255,0.00014399851366770245
422.5563909774436,CO2,0.9562498503769338,0.00014184932231761982
424.0601503759398,CO2,0.9564615618236532,0.00013973220785042594
425.56390977443607,CO2,0.9566701134571327,0.0001376466915156305
427.0676691729323,CO2,0.9568755524378819,0.0001355923017081384
428.57142857142856,CO2,0.9570779252225355,0.00013356857386160215
430.0751879699248,CO2,0.9572772775743582,0.00013157505034337548
431.57894736842104,CO2,0.9574736545735941,0.00012961128035101632
433.0827067669173,CO2,0.9576671006276599,0.0001276768198103584
434.5864661654135,CO2,0.9578576594811881,0.00012577123127507694
436.09022556390977,CO2,0.9580453742259176,0.00012389408382778132
437.593984962406,CO2,0.95823028731044,0.00012204495298255735
439.09774436090225,CO2,0.9584124405497969,0.0001202234205889885
