pressure_bar,component,equilibrium_loading_mol_kg
0.00010904204429677526,N2,1.6083212566431838e-05
0.00011223422532664173,N2,1.6554030220960562e-05
0.00011551985672964792,N2,1.7038630079967044e-05
0.00011890167424419898,N2,1.7537415562360444e-05
0.00012238249369681925,N2,1.805080189395837e-05
0.000125965213346714,N2,1.857921645294802e-05
0.00012965281629896688,N2,1.9123099125449605e-05
0.00013344837298838385,N2,1.968290267147742e-05
0.00013735504373605135,N2,2.0259093101602088e-05
0.00014137608138073613,N2,2.085215006462642e-05
0.00014551483398731938,N2,2.1462567246596817e-05
0.00014977474763452016,N2,2.209085278148111e-05
0.00015415936928422718,N2,2.27375296738533e-05
0.00015867234973483178,N2,2.3403136233936302e-05
0.00016331744666101683,N2,2.4088226525362833e-05
0.00016809852774253637,N2,2.4793370826026317e-05
0.00017301957388458943,N2,2.55191561024037e-05
0.0001780846825324681,N2,2.6266186497743175e-05
0.00018329807108324357,N2,2.7035083834522086e-05
0.00018866408039732582,N2,2.7826488131590687e-05
0.0001941871784128255,N2,2.8641058136431056e-05
0.00019987196386572507,N2,2.9479471872971825e-05
0.00020572317011895573,N2,3.034242720541245e-05
0.0002117456691035712,N2,3.1230642418524414e-05
0.00021794447537529856,N2,3.214485681490998e-05
0.00022432475028984203,N2,3.3085831329712534e-05
0.00023089180630041925,N2,3.4054349163288285e-05
0.00023765111138110754,N2,3.505121643236263e-05
0.0002446082935796798,N2,3.607726284020989e-05
0.0002517691457037277,N2,3.7133342366411885e-05
0.000259139630143966,N2,3.822033397676495e-05
0.0002667258838387405,N2,3.9339142353923656e-05
0.0002745342233838714,N2,4.049069864938505e-05
0.00028257115029208267,N2,4.1675961257435084e-05
0.00029084335640640476,N2,4.2895916611697725e-05
0.00029935772947204905,N2,4.415158000494458e-05
0.0003081213588714002,N2,4.54439964328427e-05
0.0003171415415268999,N2,4.677424146233822e-05
0.0003264257879767324,N2,4.814342212539204e-05
0.0003359818286283781,N2,4.955267783880683e-05
0.0003458176201952381,N2,5.100318135090428e-05
0.00035594135232168623,N2,5.249613971583367e-05
0.00036636145440207163,N2,5.403279529631656e-05
0.00037708660259934553,N2,5.561442679565462e-05
0.000388125727069154,N2,5.724235031985122e-05
0.00039948801939541706,N2,5.8917920470723465e-05
0.00041118294024358287,N2,6.064253147090543e-05
0.00042322022723792756,N2,6.24176183216694e-05
0.0004356099030694608,N2,6.424465799451909e-05
0.00044836228384119057,N2,6.612517065753684e-05
0.00046148798765769386,N2,6.80607209374938e-05
0.00047499794346614126,N2,7.00529192187617e-05
0.0004889034001561443,N2,7.210342298009574e-05
0.0005032159359259994,N2,7.421393817038758e-05
0.0005179474679231213,N2,7.63862206245191e-05
0.0005331102621667032,N2,7.862207752048151e-05
0.0005487169437608605,N2,8.092336887895667e-05
0.0005647805074067558,N2,8.329200910659101e-05
0.0005813143282224713,N2,8.572996858423074e-05
0.0005983321728796288,N2,8.823927530142054e-05
0.0006158482110660267,N2,9.082201653850583e-05
0.0006338770272838487,N2,9.348034059771895e-05
0.0006524336329932622,N2,9.621645858466727e-05
0.0006715334791115142,N2,9.903264624168181e-05
0.0006911924688779366,N2,0.00010193124583452777
0.0007114269710955731,N2,0.00010491466809402141
0.0007322538337604533,N2,0.00010798539421414023
